W(GeV)	WErrorp	WErrorm	sigma(mb)	Errorp	Errorm
4.541003713019177	0.0020561563545040684	0.0020570699074689003	41.1	1.7	1.7
4.561524361695703	0.0	0.0	40.0	0.3	0.3
4.9335948089503185	0.038519155073364786	0.038818245318611666	39.4	0.7177994148785578	0.7177994148785578
4.9335948089503185	0.0	0.0	39.6	0.1	0.1
5.008847073058475	0.11082964677392049	0.11330644886156982	39.0	1.5	1.5
5.2992991555433	0.04186901253831454	0.042199238808674266	39.1	0.7161571056688609	0.7161571056688609
5.473084495570892	0.0	0.0	39.29	0.19773534231391213	0.19773534231391213
5.60826852368765	0.12386150844020172	0.12663814222806646	38.7	1.5	1.5
5.641562249152131	0.0449689055717144	0.04532759380821716	38.7	0.7139810921866209	0.7139810921866209
5.917050115585947	0.1408068035352832	0.14421940629839547	39.7	1.5	1.5
5.964352987850237	0.04786770672615592	0.04825276488571717	38.7	0.7139810921866209	0.7139810921866209
6.169719431274428	0.0	0.0	38.9	0.3	0.3
6.180340126336554	0.14978800917332347	0.15349088199586802	39.7	1.5	1.5
6.240684749179929	0.0	0.0	38.6	0.6	0.6
6.270640319534308	0.050600172686559475	0.05100990826446328	38.4	0.7123594598234798	0.7123594598234798
6.270640319534308	0.0	0.0	39.06	0.19700491770511722	0.19700491770511722
6.270640319534308	0.0	0.0	38.85	0.18995763343440555	0.18995763343440555
6.47646775793454	0.15726059010525084	0.161159279047129	39.4	1.5	1.5
6.56271165873575	0.05319206550259192	0.053625073586300864	38.3	0.7118209044415597	0.7118209044415597
6.703995482240105	0.0	0.0	39.39	0.44858126755360617	0.44858126755360617
6.773536218472041	0.0	0.0	39.7	1.5	1.5
6.842372550122321	0.0	0.0	38.9	0.1	0.1
6.869714567951156	0.1884378263475135	0.19373750180771232	38.7	1.5	1.5
6.910525386758789	0.0	0.0	39.3	0.8	0.8
6.978014627168358	0.0	0.0	38.8	0.19618114078575444	0.19618114078575444
7.166228828453336	0.0	0.0	38.8	0.3	0.3
7.4207236652269515	0.1748128900280621	0.1790218476252976	39.9	1.5	1.5
7.620183138804997	0.0	0.0	38.59	0.19551728721522302	0.19551728721522302
7.620183138804997	0.0	0.0	38.55	0.18940676466272263	0.18940676466272263
